iter	Passed	Remaining
416	6635	9277
417	6647	9256
418	6661	9236
419	6673	9216
420	6685	9194
421	6697	9173
422	6711	9154
423	6724	9134
424	6737	9114
425	6749	9094
426	6762	9075
427	6776	9056
428	6789	9037
429	6802	9016
430	6814	8995
431	6827	8977
432	6841	8958
433	6854	8939
434	6866	8918
435	6878	8897
436	6891	8878
437	6903	8858
438	6917	8839
439	6941	8834
440	6955	8816
441	6967	8796
442	6979	8775
443	6992	8756
444	7005	8736
445	7018	8717
446	7030	8698
447	7043	8678
448	7056	8659
449	7069	8640
450	7082	8621
451	7094	8601
452	7107	8582
453	7120	8563
454	7134	8545
455	7146	8525
456	7160	8507
457	7174	8490
458	7188	8472
459	7201	8454
460	7215	8436
461	7228	8417
462	7242	8399
463	7256	8382
464	7268	8363
465	7282	8344
466	7294	8325
467	7307	8306
468	7321	8288
469	7334	8271
470	7349	8254
471	7361	8234
472	7373	8215
473	7386	8196
474	7398	8177
475	7412	8159
476	7424	8140
477	7439	8123
478	7452	8105
479	7465	8087
480	7477	8068
481	7489	8049
482	7503	8031
483	7516	8013
484	7529	7995
485	7541	7975
486	7555	7958
487	7568	7940
488	7582	7923
489	7595	7905
490	7607	7886
491	7619	7867
492	7632	7849
493	7645	7831
494	7658	7813
495	7670	7794
496	7684	7777
497	7698	7759
498	7710	7741
499	7722	7722
500	7735	7705
501	7751	7689
502	7768	7675
503	7785	7661
504	7800	7646
505	7815	7630
506	7835	7619
507	7856	7609
508	7871	7593
509	7887	7578
510	7904	7563
511	7918	7547
512	7934	7532
513	7951	7518
514	7975	7510
515	7991	7495
516	8004	7478
517	8019	7461
518	8032	7444
519	8047	7428
520	8061	7411
521	8076	7395
522	8088	7377
523	8101	7359
524	8114	7341
525	8128	7325
526	8142	7307
527	8154	7289
528	8167	7272
529	8183	7256
530	8197	7240
531	8212	7224
532	8226	7207
533	8239	7189
534	8251	7171
535	8264	7154
536	8278	7137
537	8293	7121
538	8307	7105
539	8320	7087
540	8332	7069
541	8344	7051
542	8358	7034
543	8371	7017
544	8384	7000
545	8398	6983
546	8410	6965
547	8424	6948
548	8437	6931
549	8448	6912
550	8460	6894
551	8474	6878
552	8489	6862
553	8502	6845
554	8516	6828
555	8529	6811
556	8543	6794
557	8557	6778
558	8571	6762
559	8585	6745
560	8598	6728
561	8610	6711
562	8624	6694
563	8638	6677
564	8652	6661
565	8665	6644
566	8677	6626
567	8691	6610
568	8705	6594
569	8719	6577
570	8733	6561
571	8745	6544
572	8758	6526
573	8772	6510
574	8785	6493
575	8800	6477
576	8815	6462
577	8828	6445
578	8841	6428
579	8855	6412
580	8870	6396
581	8885	6381
582	8901	6367
583	8916	6351
584	8932	6336
585	8947	6321
586	8964	6307
587	8981	6293
588	8996	6277
589	9014	6263
590	9030	6249
591	9047	6235
592	9064	6221
593	9080	6206
594	9096	6192
595	9114	6178
596	9129	6162
597	9146	6148
598	9163	6134
599	9181	6120
600	9200	6107
601	9217	6094
602	9237	6081
603	9255	6067
604	9272	6053
605	9288	6038
606	9305	6024
607	9322	6010
608	9339	5996
609	9356	5982
610	9375	5969
611	9392	5954
612	9410	5941
613	9428	5927
614	9446	5913
615	9463	5899
616	9481	5885
617	9497	5870
618	9515	5857
619	9536	5845
620	9554	5830
621	9571	5816
622	9589	5802
623	9606	5788
624	9628	5776
625	9647	5763
626	9665	5750
627	9683	5736
628	9701	5722
629	9719	5708
630	9737	5694
631	9755	5680
632	9772	5665
633	9790	5652
634	9808	5638
635	9827	5624
636	9846	5611
637	9865	5597
638	9882	5583
639	9900	5568
640	9918	5555
641	9937	5541
642	9957	5528
643	9976	5514
644	9995	5501
645	10012	5486
646	10031	5472
647	10051	5460
648	10068	5445
649	10085	5430
650	10103	5416
651	10120	5401
652	10138	5387
653	10157	5373
654	10175	5359
655	10194	5345
656	10211	5330
657	10228	5316
658	10245	5301
659	10263	5287
660	10281	5272
661	10298	5258
662	10316	5243
663	10334	5229
664	10353	5215
665	10373	5202
666	10392	5188
667	10409	5173
668	10427	5158
669	10444	5144
670	10464	5130
671	10484	5117
672	10502	5103
673	10524	5090
674	10542	5076
675	10566	5064
676	10587	5051
677	10607	5037
678	10628	5024
679	10650	5011
680	10670	4998
681	10689	4984
682	10708	4969
683	10724	4954
684	10743	4940
685	10760	4925
686	10778	4910
687	10795	4895
688	10812	4880
689	10830	4865
690	10846	4850
691	10861	4834
692	10880	4819
693	10898	4805
694	10914	4789
695	10931	4774
696	10947	4759
697	10963	4743
698	10979	4728
699	10996	4712
700	11012	4697
701	11028	4681
702	11044	4665
703	11073	4655
704	11088	4639
705	11104	4624
706	11120	4608
707	11136	4593
708	11151	4577
709	11167	4561
710	11183	4545
711	11199	4530
712	11216	4514
713	11233	4499
714	11249	4483
715	11266	4468
716	11282	4453
717	11299	4437
718	11316	4422
719	11333	4407
720	11350	4392
721	11367	4376
722	11384	4361
723	11401	4346
724	11417	4330
725	11434	4315
726	11451	4300
727	11467	4284
728	11483	4268
729	11499	4253
730	11516	4237
731	11532	4222
732	11548	4206
733	11565	4191
734	11582	4175
735	11599	4160
736	11618	4145
737	11635	4130
738	11653	4115
739	11671	4100
740	11688	4085
741	11706	4070
742	11726	4056
743	11746	4041
744	11764	4026
745	11781	4011
746	11799	3996
747	11817	3981
748	11835	3966
749	11853	3951
750	11869	3935
751	11886	3920
752	11903	3904
753	11920	3889
754	11940	3874
755	11958	3859
756	11976	3844
757	11993	3829
758	12010	3813
759	12026	3797
760	12042	3782
761	12058	3766
762	12075	3750
763	12091	3735
764	12107	3719
765	12123	3703
766	12140	3688
767	12157	3672
768	12175	3657
769	12191	3641
770	12207	3625
771	12224	3610
772	12243	3595
773	12260	3579
774	12277	3564
775	12294	3548
776	12312	3533
777	12329	3518
778	12347	3502
779	12365	3487
780	12381	3471
781	12397	3455
782	12415	3440
783	12430	3424
784	12447	3409
785	12464	3393
786	12482	3378
787	12498	3362
788	12517	3347
789	12534	3331
790	12550	3316
791	12569	3301
792	12586	3285
793	12602	3269
794	12619	3253
795	12636	3238
796	12653	3222
797	12670	3207
798	12688	3191
799	12704	3176
800	12721	3160
801	12737	3144
802	12755	3129
803	12773	3114
804	12792	3098
805	12809	3083
806	12826	3067
807	12843	3051
808	12860	3036
809	12877	3020
810	12895	3005
811	12910	2989
812	12927	2973
813	12943	2957
814	12959	2941
815	12977	2926
816	12994	2910
817	13010	2894
818	13027	2879
819	13042	2863
820	13059	2847
821	13075	2831
822	13092	2815
823	13108	2799
824	13124	2784
825	13140	2768
826	13157	2752
827	13175	2736
828	13192	2721
829	13208	2705
830	13226	2689
831	13243	2674
832	13260	2658
833	13277	2642
834	13295	2627
835	13314	2611
836	13335	2597
837	13357	2582
838	13381	2567
839	13406	2553
840	13430	2539
841	13454	2524
842	13476	2509
843	13498	2494
844	13524	2480
845	13545	2465
846	13564	2450
847	13586	2435
848	13605	2419
849	13624	2404
850	13644	2389
851	13662	2373
852	13681	2357
853	13700	2342
854	13718	2326
855	13737	2311
856	13755	2295
857	13772	2279
858	13788	2263
859	13805	2247
860	13822	2231
861	13841	2215
862	13859	2200
863	13876	2184
864	13894	2168
865	13912	2152
866	13932	2137
867	13950	2121
868	13967	2105
869	13984	2089
870	14001	2073
871	14019	2057
872	14036	2041
873	14052	2025
874	14069	2009
875	14087	1994
876	14105	1978
877	14122	1962
878	14142	1946
879	14160	1930
880	14177	1914
881	14193	1898
882	14209	1882
883	14226	1866
884	14244	1850
885	14261	1834
886	14278	1819
887	14296	1803
888	14312	1787
889	14331	1771
890	14352	1755
891	14371	1740
892	14388	1724
893	14404	1707
894	14420	1691
895	14437	1675
896	14454	1659
897	14470	1643
898	14487	1627
899	14502	1611
900	14519	1595
901	14535	1579
902	14551	1563
903	14567	1547
904	14584	1530
905	14601	1514
906	14617	1498
907	14633	1482
908	14650	1466
909	14666	1450
910	14682	1434
911	14698	1418
912	14713	1402
913	14730	1386
914	14746	1369
915	14762	1353
916	14778	1337
917	14794	1321
918	14811	1305
919	14827	1289
920	14844	1273
921	14861	1257
922	14877	1241
923	14893	1225
924	14909	1208
925	14926	1192
926	14944	1176
927	14960	1160
928	14976	1144
929	14993	1128
930	15009	1112
931	15025	1096
932	15041	1080
933	15058	1064
934	15075	1048
935	15092	1031
936	15108	1015
937	15124	999
938	15140	983
939	15157	967
940	15174	951
941	15189	935
942	15207	919
943	15225	903
944	15241	887
945	15257	870
946	15273	854
947	15289	838
948	15306	822
949	15323	806
950	15339	790
951	15356	774
952	15373	758
953	15389	742
954	15406	725
955	15424	709
956	15440	693
957	15457	677
958	15474	661
959	15491	645
960	15507	629
961	15523	613
962	15539	597
963	15555	580
964	15572	564
965	15587	548
966	15603	532
967	15620	516
968	15637	500
969	15653	484
970	15669	467
971	15686	451
972	15703	435
973	15721	419
974	15738	403
975	15756	387
976	15773	371
977	15790	355
978	15808	339
979	15825	322
980	15842	306
981	15858	290
982	15874	274
983	15890	258
984	15906	242
985	15923	226
986	15939	209
987	15955	193
988	15971	177
989	15987	161
990	16004	145
991	16023	129
992	16038	113
993	16055	96
994	16071	80
995	16087	64
996	16105	48
997	16127	32
998	16146	16
999	16163	0
